baseline_clu,n_ref,n_matched_from_test,same_label_rate,recall_from_test_side
138,507,439,0.16173120728929385,0.8658777120315582
139,105,81,0.3950617283950617,0.7714285714285715
140,119,115,0.22608695652173913,0.9663865546218487
141,630,535,0.23925233644859814,0.8492063492063492
142,174,211,0.26540284360189575,1.2126436781609196
143,1010,878,0.09567198177676538,0.8693069306930693
144,62,40,0.1,0.6451612903225806
145,369,331,0.17220543806646527,0.8970189701897019
146,368,317,0.11356466876971609,0.8614130434782609
147,155,153,0.39215686274509803,0.9870967741935484
148,195,160,0.0625,0.8205128205128205
149,273,223,0.15695067264573992,0.8168498168498168
150,262,435,0.0,1.6603053435114503
151,417,322,0.2360248447204969,0.7721822541966427
152,168,167,0.2215568862275449,0.9940476190476191
153,622,497,0.05835010060362173,0.7990353697749196
154,165,188,0.42021276595744683,1.1393939393939394
155,293,163,0.03680981595092025,0.5563139931740614
156,739,597,0.19095477386934673,0.8078484438430311
157,108,104,0.125,0.9629629629629629
158,433,430,0.26046511627906976,0.9930715935334873
159,88,64,0.046875,0.7272727272727273
160,609,483,0.12008281573498965,0.7931034482758621
161,698,625,0.0736,0.8954154727793696
162,285,208,0.0,0.7298245614035088
163,629,467,0.15417558886509636,0.7424483306836248
164,559,519,0.1464354527938343,0.9284436493738819
165,148,164,0.3475609756097561,1.1081081081081081
166,124,87,0.20689655172413793,0.7016129032258065
167,126,151,0.17880794701986755,1.1984126984126984
168,921,735,0.1523809523809524,0.7980456026058632
169,793,608,0.07401315789473684,0.7667087011349306
170,684,610,0.18688524590163935,0.8918128654970761
171,723,582,0.13402061855670103,0.8049792531120332
172,190,166,0.13855421686746988,0.8736842105263158
173,207,196,0.10204081632653061,0.9468599033816425
174,347,291,0.2920962199312715,0.8386167146974063
175,280,223,0.017937219730941704,0.7964285714285714
176,216,180,0.20555555555555555,0.8333333333333334
177,379,262,0.0,0.6912928759894459
178,285,269,0.20074349442379183,0.9438596491228071
179,308,277,0.1263537906137184,0.8993506493506493
