window_end_ns,elapsed_s,fps,rate_kib_s,missing_frames,loss_rate,crc_errors,old_frames,avg_interval_ms,interval_jitter_ms,bandwidth_jitter_kib_s
1785505201548714600,1.0207710000001953,20.572684764747414,82.5720062335077,0,0.0,0,0,48.40766666666667,44.06242600244944,1.8505598195646127
1785505202603968800,1.0552566999999726,18.952734438928953,76.07005717187305,0,0.0,0,0,50.034405,63.425519682624795,1.9927528926376745
1785505203605109300,1.001146800000015,21.974799300162246,88.19963390983088,0,0.0,0,0,50.43650909090909,63.45100297272436,2.4662703363587193
1785505204631243400,1.026126799999929,18.51623015791159,74.31807221583655,0,0.0,0,0,49.142257894736844,50.71099190567088,2.672369207502826
1785505205664645200,1.0334069000000454,20.321133911529987,81.56236364881664,0,0.0,0,0,53.60921428571429,63.75787338124825,2.677351766714155
1785505206692843700,1.0281987999999274,20.424065851858106,81.9754986827508,0,0.0,0,0,48.96183333333333,58.9996241010935,2.669801244386884
1785505207698408900,1.005564800000002,19.8893199125506,79.8292039458818,0,0.0,0,0,50.277175,52.38041343996794,2.628284166063922
1785505208715402200,1.0169929999999567,19.665818742116073,78.93214358407916,0,0.0,0,0,47.12122,52.07299556777663,2.592330208282552
1785505209746546700,1.0311354000000392,20.3658995705115,81.74203831523657,0,0.0,0,0,52.653819047619045,51.307887960737766,2.5814763772650067
1785505210763395600,1.016850599999998,19.66857274805172,78.94319726024665,0,0.0,0,0,47.462415,48.88182811095255,2.570795311180663
1785505211791227300,1.027841800000033,20.431159736838225,82.00397120937998,0,0.0,0,0,52.165461904761905,60.31993848619605,2.5709840024503756
1785505212815915700,1.0246878999998899,19.51813815699605,78.33940217309937,0,0.0,0,0,51.23429,44.38382378297063,2.5818226999034946
1785505213834457800,1.0185304999999971,20.617939276241664,82.75364299350902,0,0.0,0,0,46.67162857142857,45.124326414619674,2.6078747343854216
1785505220402202500,1.0040797999999995,19.91873554273277,79.94726863342937,0,0.0,0,0,52.08467894736842,36.46392908000665,0.0
1785505221411919400,1.009710099999893,19.8076655863917,79.50147027350575,0,0.0,0,0,47.919574999999995,32.20160976289809,0.315227043343839
1785505222443423500,1.031510100000105,19.389049123220378,77.82128114886304,0,0.0,0,0,54.1388,58.49733391248204,1.1211299699269879
1785505223459539900,1.0161123000000316,20.667006983381018,82.95058466962497,0,0.0,0,0,46.09203333333333,43.55826250512449,2.136345134329858
1785505224483746200,1.0242092999999386,19.527258735105413,78.37600918094067,0,0.0,0,0,49.88832,59.06646702590851,1.9967176743953452
